Date,Cumulative_Confirmed_Cases,Cumulative_Tests
4-Mar-20,0,108
5-Mar-20,0,111
6-Mar-20,0,111
7-Mar-20,0,120
8-Mar-20,3,127
9-Mar-20,3,137
10-Mar-20,3,147
11-Mar-20,3,163
12-Mar-20,3,187
13-Mar-20,3,211
14-Mar-20,3,241
15-Mar-20,5,268
16-Mar-20,8,293
17-Mar-20,8,342
18-Mar-20,8,381
19-Mar-20,10,427
20-Mar-20,17,463
21-Mar-20,24,499
22-Mar-20,27,564
23-Mar-20,33,620
24-Mar-20,39,712
25-Mar-20,39,794
26-Mar-20,44,920
27-Mar-20,48,1026
28-Mar-20,48,1076
29-Mar-20,48,1185
30-Mar-20,49,1338
31-Mar-20,51,1602
1-Apr-20,54,1759
2-Apr-20,56,1906
3-Apr-20,61,2113
4-Apr-20,70,2547
5-Apr-20,88,2914
6-Apr-20,123,3610
7-Apr-20,164,4402
8-Apr-20,218,5383
9-Apr-20,330,6480
10-Apr-20,424,7664
11-Apr-20,482,8313
12-Apr-20,621,9653
13-Apr-20,803,11223
14-Apr-20,1012,13128
15-Apr-20,1231,14868
16-Apr-20,1572,17003
17-Apr-20,1838,19193
18-Apr-20,2144,21307
19-Apr-20,2456,23941
20-Apr-20,2948,26604
21-Apr-20,3382,29578
22-Apr-20,3772,32674
23-Apr-20,4186,36090
24-Apr-20,4689,39776
25-Apr-20,4998,43012
26-Apr-20,5416,46485
27-Apr-20,5913,50297
28-Apr-20,6462,54733
29-Apr-20,7103,59701
30-Apr-20,7667,64666
1-May-20,8238,70239
2-May-20,8790,76066
3-May-20,9455,81454
4-May-20,10143,87698
5-May-20,10929,93403
6-May-20,11719,99644
7-May-20,12425,105511
8-May-20,13134,111454
9-May-20,13770,116919
10-May-20,14657,122657
11-May-20,15691,129865
12-May-20,16660,136638
13-May-20,17822,144538
14-May-20,18863,151930
15-May-20,20065,160512
16-May-20,20995,167294
17-May-20,22268,175408
18-May-20,23880,185196
19-May-20,25121,193645
20-May-20,26738,203852
21-May-20,28511,214114
22-May-20,30205,223841
23-May-20,32078,234675
24-May-20,33610,243583
25-May-20,35585,253034
26-May-20,36751,258441
27-May-20,38292,266456
28-May-20,40321,275776
29-May-20,42844,287067
