,R_t_mean,R_t_low,R_t_high,I_t_mean,I_t_low,I_t_high
26,3.5,2.52,4.48,31.0,-inf,inf
27,3.3991897122736434,1.9866565087774473,4.770860679300082,223.727,171.0,281.0
28,3.2681506607555795,1.9247016939636798,4.502501839152548,278.14025,224.0,331.0
29,3.1615415589376195,2.0930217915034586,4.24749056230907,346.1285,277.0,403.0
30,2.4267831339904333,1.5090187589410207,3.3444772199786503,354.015625,297.0,410.0
31,1.8888255326129537,1.0750262866914593,2.7559616183309923,343.638,286.0,396.0
32,1.7233226201004042,0.9143680673832657,2.5225945758619583,354.95,297.0,410.0
33,1.724249293114483,0.9350110757893063,2.459544571591021,383.846875,326.0,438.0
34,1.9644813052490748,1.2089643270139525,2.697772497620262,451.4565,387.0,505.0
35,1.7231894972938764,0.9949062491176804,2.4432345224201777,470.70775,407.0,532.0
36,1.8864817235672375,1.1765732673825784,2.583280384037681,532.6635,467.0,601.0
37,2.016271052866048,1.3563877742827932,2.703065073615316,615.85675,542.0,687.0
38,1.6033404958136923,0.9411051836253188,2.296440001320286,611.09875,539.0,682.0
39,1.7949221991926778,1.1195992563618273,2.480172528421225,678.897,605.0,746.0
40,2.2239480183851326,1.564327987789549,2.8498118906144683,837.3125,755.0,914.0
41,2.0328278093879923,1.446254764206693,2.6681120694808445,923.39975,835.0,1012.0
42,2.352980966097336,1.7461332466409936,2.9141690051027864,1112.98975,1015.0,1203.0
43,2.1871101423221506,1.662004314396228,2.7903312838576073,1256.352,1158.0,1353.0
44,1.5324894658339372,0.9637527014896161,2.0771446133972034,1226.0725,1123.0,1315.0
45,1.608676436178649,1.0823539702222311,2.1713104124456954,1304.378375,1200.0,1400.0
46,1.9837943863868708,1.4171552999057133,2.4896951859469434,1523.3585,1409.0,1631.0
47,2.0806603459354727,1.574555444089078,2.5819802173898023,1748.093,1635.0,1855.0
48,1.7963211334226814,1.2952270718050576,2.2781816609521326,1859.4005,1744.0,1974.0
49,1.8723097889116267,1.3798629728496834,2.3621092418183087,2048.8615,1924.0,2178.0
50,2.165414277698327,1.7262925899398418,2.641003633664332,2396.972,2264.0,2523.0
51,1.9174662200838626,1.4504033913089427,2.3614213420633217,2616.908,2479.0,2765.0
52,1.7663551732075211,1.3210180459406184,2.199568986851335,2799.250375,2642.0,2948.0
53,1.9474994206035936,1.5138231221003644,2.398617332376874,3142.661,2977.0,3309.0
54,1.8104060486393674,1.401269288994158,2.211963157115249,3419.50875,3277.0,3592.0
55,1.67754269842431,1.269279281556358,2.078174026245745,3645.841875,3469.0,3801.0
56,1.7020685469500447,1.3018154818497476,2.0992593410241254,3939.74825,3770.0,4123.0
57,1.8183617128891583,1.438270440355846,2.2423825578760357,4343.887125,4145.0,4528.0
