,R_t_mean,R_t_low,R_t_high,I_t_mean,I_t_low,I_t_high
21,3.5,2.52,4.48,25.0,-inf,inf
22,4.084300706273396,3.074095198380056,5.037504933596169,79.6635,60.0,97.0
23,4.9014110786254115,3.934287470906256,5.857336306827936,190.18175,154.0,221.0
24,5.257812357348718,4.367573299099828,6.1948399139117605,337.84225,287.0,386.0
25,4.704579308433384,3.8773644127755653,5.559557776355752,452.487,388.0,512.0
26,3.97261496269015,3.171856002528388,4.766868503699677,544.9515,475.0,615.0
27,3.481258376322129,2.7421559265197195,4.261787420173671,658.00225,574.0,728.0
28,2.8487581955369583,2.152399514972175,3.549027369121292,723.80275,647.0,798.0
29,2.4232946068984482,1.7770774657018997,3.0499660297414977,785.145,710.0,864.0
30,2.0565604381616613,1.4206293178953247,2.657572026194617,821.00775,736.0,895.0
31,1.973192540830196,1.390133324246455,2.562242246205063,899.152625,812.0,977.0
32,1.8306220884493236,1.273278457461015,2.3936630662811798,955.926125,871.0,1037.0
33,1.8040355026628847,1.2731509639063592,2.3162108728358213,1039.74825,953.0,1117.0
34,1.724436371582398,1.2505270056480655,2.241431257640781,1105.088375,1007.0,1184.0
35,1.7470819103549997,1.252813808126273,2.187192575792062,1208.892125,1131.0,1302.0
36,1.8855090948467441,1.453192163150627,2.3328728353360915,1380.9145,1288.0,1478.0
37,1.9970436503488969,1.5842821121198662,2.4117165104347653,1583.68625,1479.0,1679.0
38,2.0101809645477404,1.617258114712999,2.400121275070595,1776.415125,1668.0,1886.0
39,2.0510283819721016,1.68187237218546,2.4262713324871443,2014.756125,1891.0,2118.0
40,2.0649419786401477,1.7292804920261722,2.427600911508003,2280.872625,2159.0,2394.0
41,2.0174038328137183,1.6870479795060869,2.355420988719436,2530.285375,2399.0,2648.0
42,1.903193263986602,1.5752294745544606,2.224717794108315,2732.769875,2608.0,2864.0
43,1.9884596950454505,1.682754620675272,2.2905950873907455,3104.0135,2972.0,3264.0
44,2.039343555963624,1.7560321296698844,2.3446594093382522,3516.4325,3372.0,3683.0
45,1.9399096719069193,1.668799196371149,2.229853439640017,3830.19625,3683.0,3995.0
46,1.9735202495277293,1.707797971114276,2.2386571584197905,4299.414625,4147.0,4457.0
47,1.880073103993471,1.6301798223591153,2.160145966738088,4653.54875,4489.0,4832.0
48,1.9371275972503321,1.6880172370424484,2.2002685936304394,5210.4535,5028.0,5386.0
49,1.91630378266125,1.6682456119911409,2.1596429173901788,5756.613,5558.0,5957.0
50,1.889446504538014,1.658281840682176,2.133893088517347,6327.11575,6130.0,6513.0
51,1.932096631529262,1.7112668367803698,2.165355786405928,7068.659,6851.0,7282.0
52,1.9085482013790493,1.701446515088445,2.117785654173214,7791.00475,7575.0,7994.0
53,1.9084696664050238,1.7021247739578749,2.1175338175542127,8616.7245,8382.0,8858.0
54,1.832069767759833,1.6286318379416718,2.0284065874684076,9350.78525,9103.0,9609.0
55,1.8932691765564185,1.698331165001727,2.0845115980760864,10418.6445,10133.0,10659.0
56,1.8753993226406616,1.6756271738228643,2.0618706784370704,11457.83375,11162.0,11753.0
57,1.8868210380780788,1.697532510209866,2.0747936919878915,12655.84975,12342.0,12963.0
58,1.861961786226531,1.679855132309359,2.0547844007560836,13890.977125,13568.0,14205.0
59,1.9489555245614352,1.772895256488913,2.121354795487567,15575.6205,15234.0,15907.0
60,1.911729568082167,1.7461132670603374,2.0836478226829858,17172.46725,16801.0,17523.0
61,1.7960181941253668,1.6286894695503427,1.9581645864945032,18540.5855,18148.0,18923.0
62,1.783336476438908,1.6238777677860956,1.9449145180027998,20201.570875,19782.0,20622.0
63,1.7504006391478766,1.5805083329105072,1.9040640731657088,21895.163,21428.0,22277.0
64,1.8070948905909165,1.6585085209762673,1.9702793205034643,24057.318875,23590.0,24503.0
65,1.9012034457178275,1.7553168308224503,2.0630250814102915,26802.599875,26310.0,27286.0
66,1.8792502957847834,1.7311612660057303,2.032754992718988,29502.521875,28926.0,30031.0
67,1.8118147623588647,1.6693126266530944,1.9607880941644036,32141.56825,31580.0,32671.0
68,1.8875996999982627,1.7374674879186451,2.034576106867577,35638.549,35004.0,36280.0
69,1.886712044662281,1.7480472258022355,2.0227014660770655,39323.50175,38648.0,39939.0
70,1.8635675339238047,1.7268740548536727,2.0023193126355165,43220.309375,42518.0,43933.0
71,1.9436741914503657,1.8102758582609706,2.084935897179471,48198.602375,47471.0,48954.0
72,1.9237361895217013,1.7933875260672878,2.067407538912521,53361.50875,52525.0,54291.0
73,1.8961382649019742,1.762834592996161,2.03597236434436,58879.5925,58026.0,59865.0
74,1.859168592491814,1.7280829986916875,1.9908045144018136,64684.49,63660.0,65590.0
75,1.9151892507246324,1.7777591759765945,2.0473437069103344,71780.857625,70704.0,72919.0
76,1.9176571184722497,1.787352944316579,2.0454548199528073,79477.464875,78262.0,80572.0
77,1.9690852576187967,1.8437124911242657,2.090675519237825,88656.58075,87364.0,89895.0
78,1.959820032757054,1.8306293893798986,2.076291858629877,98628.979125,97232.0,100035.0
79,1.8700425341406326,1.7419557612033105,1.9909208006650385,108356.72525,106763.0,109917.0
80,1.8560640031005022,1.7238287133715224,1.9816668633337307,119127.207625,117368.0,120829.0
