,R_t_mean,R_t_low,R_t_high,I_t_mean,I_t_low,I_t_high
19,3.5,2.52,4.48,25.0,-inf,inf
20,4.032013730166312,3.047112396557737,5.024240809679173,75.13525,56.0,93.0
21,4.501836609603257,3.4933339145629128,5.440509036260811,150.7,119.0,180.0
22,4.548162143766055,3.6318354485864037,5.471710151021215,228.974875,187.0,269.0
23,4.555691444579942,3.7049947007525383,5.4615110046392745,342.371375,291.0,395.0
24,3.9719431981618056,3.133686731532085,4.803602683855717,415.006,355.0,477.0
25,3.6802805928068936,2.854610306633291,4.463659525365669,526.801125,462.0,598.0
26,3.070624374349501,2.311736082271215,3.7919253806444138,589.970625,516.0,655.0
27,2.663296996977889,1.9500112354211254,3.3326830005489967,652.2135,577.0,721.0
28,2.3123819281185916,1.648327417744327,2.9409503931367764,701.793625,624.0,773.0
29,2.0983617772856307,1.4501746813040985,2.690026369357893,759.188125,682.0,838.0
30,2.1981084778613376,1.5797715744430223,2.769780493831554,883.209,803.0,956.0
31,2.025653657790843,1.4774128753246816,2.6072652616342324,954.0645,868.0,1032.0
32,2.047759051307638,1.5066642295576953,2.5797237979080054,1076.994375,992.0,1163.0
33,2.1236170414050366,1.6399690496485695,2.636930853668771,1237.805375,1150.0,1334.0
34,2.211016412147124,1.7544798089149685,2.6863213201318805,1441.93975,1342.0,1541.0
35,2.1762959159929642,1.7217721088534401,2.6009195561359824,1630.917125,1526.0,1731.0
36,2.228186969251827,1.8170246423263667,2.6554219492792734,1891.771625,1780.0,2018.0
37,2.0594343852895407,1.6853907204277039,2.467441773151907,2062.802375,1948.0,2181.0
38,1.9375673231102206,1.5594690596076695,2.2902527625707356,2234.879375,2097.0,2348.0
39,1.948869744047964,1.6062643098649145,2.2984833084957703,2489.541125,2365.0,2624.0
40,1.9930010264985754,1.6455138568464245,2.3251309537448854,2801.33875,2662.0,2938.0
41,2.026458888960296,1.7256543115545746,2.3675580506282814,3157.69675,3011.0,3295.0
42,2.0122727596662715,1.7030827041485355,2.3087253038955273,3522.3125,3375.0,3677.0
43,2.119785706323142,1.8343641409249076,2.413899693396992,4068.520625,3902.0,4231.0
44,2.1008112588149643,1.8294977907956633,2.386766729430936,4583.998375,4411.0,4759.0
45,2.0256281044109463,1.7692531000120202,2.295834106282072,5075.9505,4895.0,5252.0
46,2.0179899350952395,1.7606446627679482,2.269455587510963,5680.687875,5496.0,5874.0
47,2.0599669870216313,1.8259734144022606,2.299858088799196,6431.707125,6221.0,6623.0
48,1.9947051875847421,1.7831366581667019,2.2336093953382554,7115.444625,6924.0,7331.0
49,1.965684846061693,1.7557831579121845,2.1946002003321525,7886.084,7652.0,8113.0
50,2.0034617970878723,1.7875502634716585,2.2100695178629013,8862.399875,8595.0,9093.0
51,2.0563199610533665,1.8551430534196574,2.2482536459456077,10034.086625,9769.0,10298.0
52,2.0227411172030765,1.8358125262742606,2.2182361031604776,11194.609125,10898.0,11460.0
53,1.968965019976544,1.777737233713617,2.150761630653459,12375.55475,12105.0,12710.0
54,1.9596478281725287,1.773436721664867,2.1410030320851887,13762.6565,13455.0,14097.0
55,1.9394309213372447,1.7618534719300654,2.129060662992412,15249.893,14851.0,15569.0
56,2.0296724679822864,1.8488134196634578,2.2047658938123424,17253.302625,16852.0,17616.0
57,2.0025827850826277,1.838439912046139,2.183853024346413,19246.6985,18843.0,19652.0
58,2.0084825094943266,1.8341969533325209,2.171508354678657,21531.761875,21113.0,21946.0
59,1.995289451253157,1.8265984329827971,2.14965751765552,24017.764125,23536.0,24460.0
60,1.9708643067672147,1.8124349957144525,2.12786211254239,26719.329,26160.0,27172.0
61,1.9028937222409967,1.7520173420953122,2.0629748092111173,29402.484375,28842.0,29950.0
62,1.9596189576602288,1.8027604634925085,2.109331790894342,32834.741875,32238.0,33447.0
63,2.09571322861986,1.9531483390523072,2.239149688256566,37375.586375,36791.0,38056.0
64,2.1223803145785367,1.971503545652077,2.264587494874363,42396.3425,41580.0,43062.0
65,2.090433267283412,1.9496168997501606,2.2467818444131296,47778.029,46991.0,48647.0
66,2.1331015539191114,1.9904007633390017,2.2809483282383516,54282.78175,53310.0,55144.0
67,2.080365813780186,1.936445942984531,2.2093688179157898,61077.37325,60085.0,62012.0
68,2.044600037165123,1.905128288890247,2.184862456184672,68498.10725,67355.0,69579.0
69,2.1261929671189437,1.9838010538313264,2.261051711366971,77831.13075,76466.0,78964.0
70,2.152519101747561,2.020962267095029,2.284114759062221,88538.586125,87191.0,89878.0
71,2.0720578064757165,1.9445198274767472,2.1968982496093474,99507.933625,98116.0,100840.0
72,2.062153070576378,1.926548470387988,2.1833605421258224,111941.989,110349.0,113595.0
73,2.048802232589881,1.918108558723022,2.1755223394651515,125723.856125,123743.0,127444.0
74,2.0582760291943734,1.921600771586998,2.179610082408447,141461.528875,139444.0,143572.0
75,2.054369599127928,1.92819605497166,2.175586125099318,159067.807625,156933.0,161235.0
76,2.160014032984628,2.0329810973764735,2.2738545099182623,181257.908375,178564.0,183385.0
77,2.1713846566086556,2.04257418069709,2.3025395350125226,206436.593375,203541.0,209475.0
78,2.1804421269077974,2.048655683290839,2.3038054142535955,235381.221875,231881.0,238683.0
