,R_t_mean,R_t_low,R_t_high,I_t_mean,I_t_low,I_t_high
19,3.5,2.52,4.48,25.0,-inf,inf
20,4.019760153886582,3.03651299257036,5.030686614341856,74.033875,56.0,92.0
21,4.50342212710964,3.5300035184185643,5.441590917476748,149.668375,120.0,177.0
22,4.569007566987955,3.644146557032176,5.501587443974348,227.944,183.0,266.0
23,4.586098215543623,3.7006644077591972,5.4367611694094204,342.85375,284.0,393.0
24,3.997445143286349,3.1772233302100372,4.837035853077686,414.66175,351.0,471.0
25,3.713295875409224,2.902518613631117,4.484879719533556,528.72275,457.0,594.0
26,3.075818299949701,2.312885668330189,3.819985201205291,591.622125,518.0,664.0
27,2.6604186745169396,1.9502682919549348,3.35367075982112,655.62125,582.0,729.0
28,2.2911716878355235,1.5922157832667785,2.9405582690652867,702.3985,620.0,772.0
29,2.074676198227289,1.4512801717395556,2.6961179463882186,756.413375,679.0,831.0
30,2.179356070799725,1.580537814233633,2.78173840627679,880.082625,800.0,962.0
31,2.0060393649023607,1.4144433818093403,2.549704015226137,951.486125,870.0,1036.0
32,2.0291506106257176,1.499859473362004,2.573632450185685,1070.196,986.0,1159.0
33,2.115877006106935,1.607172824904364,2.609432936055274,1232.601375,1140.0,1322.0
34,2.205229048786266,1.7425744813310005,2.6736279824335285,1433.59275,1339.0,1534.0
35,2.1799830085077128,1.7450080996559387,2.6394904994641686,1627.742,1517.0,1727.0
36,2.232452863112866,1.8045762361823785,2.632472007524665,1888.3535,1774.0,2001.0
37,2.0669731874425388,1.6791845913713128,2.450981529484737,2060.697875,1951.0,2191.0
38,1.9471716413770497,1.5836209687244691,2.3283455833710014,2236.725,2111.0,2356.0
39,1.9584490396979541,1.5995141381227609,2.294646897138973,2496.29475,2373.0,2637.0
40,1.9894140212219864,1.6514897171886105,2.3234756838776747,2805.076125,2658.0,2938.0
41,2.013013885972708,1.7003972004843193,2.3236926161399194,3154.36675,3020.0,3308.0
42,2.0021738426006066,1.7088857703302462,2.2901590539622374,3519.168375,3372.0,3680.0
43,2.110276148301432,1.8286726201447938,2.3891645628714597,4063.27775,3898.0,4210.0
44,2.0993956911765905,1.8390248257158253,2.3697028749062485,4582.701625,4413.0,4749.0
45,2.033337002724266,1.788993528490535,2.2980647250894966,5076.6415,4893.0,5252.0
46,2.0314149131961767,1.783742605741688,2.2821064895425063,5687.61975,5489.0,5878.0
47,2.065434758766836,1.8409207446352733,2.312725835120876,6436.824125,6233.0,6643.0
48,1.9937532085029153,1.7669058418831862,2.2280478288760315,7113.747,6893.0,7328.0
49,1.9628901384502928,1.7437986250459159,2.192895471540433,7888.935,7646.0,8118.0
50,2.0008399958474956,1.7708990236373379,2.2060920451024253,8864.514125,8620.0,9113.0
51,2.0522975221572595,1.837658492803957,2.257459523556439,10031.337625,9763.0,10283.0
52,2.0189636814642316,1.8210432842662638,2.2126401049896542,11186.041625,10904.0,11469.0
53,1.9665234137196979,1.7672643285172125,2.162153001393304,12366.757875,12033.0,12659.0
54,1.9611152558460938,1.7706794101351533,2.1417125876346526,13763.969125,13461.0,14074.0
55,1.9425704176514156,1.7584084591537412,2.129009857457014,15256.212875,14909.0,15590.0
56,2.030939049027982,1.8481424900478733,2.2043123955049797,17254.204,16917.0,17630.0
57,1.9987857368594957,1.827439559059466,2.172957162298155,19229.753625,18821.0,19633.0
58,2.010536099931083,1.8469785976256081,2.1797346907088886,21532.9765,21120.0,21961.0
59,1.9988495297610633,1.8401538395534591,2.16532018477067,24039.270375,23583.0,24503.0
60,1.967360734141674,1.7993815385531868,2.119305951480015,26703.99225,26206.0,27227.0
61,1.9066483167437713,1.7475623251075705,2.065495149716118,29408.904,28873.0,29954.0
62,1.9659055410422208,1.819380628536823,2.1193138303426027,32867.002,32293.0,33433.0
63,2.0885814359617854,1.9443265173051862,2.2383369578482615,37386.33625,36716.0,38040.0
64,2.1146978616187955,1.9692432331259362,2.2604585843468823,42363.110125,41668.0,43148.0
65,2.0832374310832247,1.9350342929481577,2.2263046906413697,47718.763375,46875.0,48497.0
66,2.1289405984269516,1.9900760176275638,2.276162718708928,54204.047875,53350.0,55085.0
67,2.083779205978881,1.9468904500016835,2.213939455284915,61027.3245,60104.0,61962.0
68,2.0413547706037383,1.9013464315871786,2.1714202724985787,68408.834,67315.0,69488.0
69,2.124549934038416,1.9980675896649935,2.2650797719547713,77743.791875,76539.0,78928.0
70,2.159817978776859,2.03214361117654,2.2842742774535143,88535.938625,87154.0,89704.0
71,2.075304620120567,1.9459016157334819,2.1936983901944607,99545.635875,98000.0,100763.0
72,2.0681679806425484,1.941916146554255,2.19654867853456,112065.899125,110419.0,113830.0
73,2.053625935287283,1.9315350818347925,2.1754363079950227,125950.339625,124209.0,127682.0
74,2.0528819231568534,1.9310454879565073,2.1724453937858392,141583.319875,139651.0,143419.0
75,2.048661522631907,1.9233345595925433,2.1733809397674944,159078.891625,156827.0,161345.0
76,2.1633306605445144,2.028366763689024,2.275720676066597,181335.95275,178857.0,183920.0
77,2.1623799837763626,2.0414465127230472,2.2779985897105117,206312.489875,203720.0,209279.0
78,2.182038608711671,2.051611413181965,2.2986211343812317,235312.66925,232115.0,238569.0
