,R_t,I_t,N_t,T_t,P_t,pct_positive
0,2.081350009966721,49,37824,1000,1,0.1
1,2.066627794662961,34,37810,1106,1,0.09041591320072333
2,2.1039612758968715,29,37805,1212,1,0.08250825082508251
3,2.1417500651495773,28,37804,1318,1,0.07587253414264036
4,2.046977714346609,30,37806,1424,3,0.21067415730337077
5,2.016329748986076,33,37809,1530,2,0.13071895424836602
6,1.8952934557614864,36,37812,1636,2,0.12224938875305623
7,1.9254045714478676,40,37816,1743,2,0.11474469305794607
8,1.9878994626518307,45,37821,1849,3,0.16224986479177933
9,2.0371288463711057,50,37826,1955,5,0.2557544757033248
10,2.002546419326985,56,37832,2061,3,0.14556040756914118
11,1.9529556678669509,63,37839,2167,3,0.1384402399630826
12,1.8803236869137183,70,37846,2273,8,0.3519577650681918
13,1.807643719278534,78,37854,2379,2,0.08406893652795293
14,1.8098380784459294,87,37863,2486,3,0.12067578439259855
15,1.796970789056921,96,37872,2592,5,0.19290123456790123
16,1.7874000839319026,105,37881,2698,6,0.2223869532987398
17,1.8019382070493586,116,37892,2804,11,0.39229671897289586
18,1.8322491508639709,127,37903,2910,6,0.20618556701030927
19,1.8959660405408632,140,37915,3016,10,0.33156498673740054
20,1.8476141795309706,154,37930,3122,14,0.4484304932735426
21,1.8135346800324323,170,37946,3229,13,0.40260142458965625
22,1.8429972156699077,188,37964,3335,20,0.5997001499250375
23,1.8660592084737129,207,37983,3441,17,0.4940424295263005
24,1.817348040729346,229,38005,3547,24,0.6766281364533409
25,1.843486941041247,252,38028,3653,30,0.8212428141253764
26,1.9077854738644617,278,38054,3759,25,0.6650704974727321
27,1.9002417517840908,306,38082,3865,41,1.0608020698576972
28,1.9209089993616701,338,38114,3972,31,0.7804632426988922
29,1.9446794566449228,375,38151,4078,53,1.2996566944580676
30,1.9098058034592398,417,38193,4184,46,1.0994263862332696
31,1.8019784116213526,464,38240,4290,52,1.2121212121212122
32,1.8706219228081495,515,38291,4396,61,1.3876251137397635
33,1.8316771407631394,568,38344,4502,64,1.4215904042647711
34,1.8217238228985952,627,38403,4608,71,1.5407986111111112
35,1.7968980014233789,691,38466,4715,86,1.823966065747614
36,1.8753370407279988,759,38535,4821,89,1.8460900228168429
37,1.7540507007787844,834,38610,4927,94,1.907854678303227
38,1.8204459590317112,915,38690,5033,138,2.7419034373137294
39,1.8619254498511677,1001,38777,5139,112,2.1794123370305507
40,1.9040515631134165,1098,38874,5245,138,2.631077216396568
41,1.788219489697575,1213,38988,5351,156,2.915342926555784
42,1.7155542882276993,1334,39110,5458,190,3.4811286185415904
43,1.7009801493717482,1459,39234,5564,206,3.702372393961179
44,1.6592930140744884,1590,39366,5670,237,4.1798941798941796
45,1.68862843972482,1730,39506,5776,272,4.7091412742382275
46,1.5738683981621062,1879,39654,5882,257,4.369262155729344
47,1.5723960896821687,2028,39804,5988,300,5.01002004008016
48,1.6582728631262984,2178,39953,6094,293,4.808007876599935
49,1.5093715950727862,2346,40122,6201,340,5.482986615062087
50,1.5097958644822302,2534,40310,6307,374,5.929919137466308
51,1.5336462562364395,2717,40493,6413,378,5.894277249337284
52,1.5214630632376185,2902,40678,6519,433,6.642123025003835
53,1.5058570457140585,3098,40873,6625,477,7.2
54,1.485230031253511,3303,41079,6731,477,7.086614173228346
55,1.460507789774236,3514,41289,6837,557,8.146848032762907
56,1.399923966129522,3725,41501,6944,603,8.683755760368664
57,1.4865359060710566,3952,41727,7050,607,8.609929078014185
58,1.3786754545018973,4193,41968,7156,650,9.08328675237563
59,1.3147037726870174,4428,42204,7262,741,10.203800605893694
60,1.2248925093388927,4663,42439,7368,716,9.717698154180239
61,1.16309846497144,4855,42631,7474,782,10.462938185710463
62,1.174228216652855,5017,42793,7581,832,10.97480543463923
63,1.2788942808234027,5155,42931,7687,852,11.083647716924679
64,1.2089575335153047,5297,43073,7793,856,10.984216604645194
65,1.275918440263836,5462,43238,7899,898,11.368527661729333
66,1.2890521272471114,5648,43424,8005,955,11.930043722673329
67,1.3245132550193595,5854,43630,8111,958,11.811120700283565
68,1.3743228357311652,6073,43849,8217,999,12.157721796276013
69,1.3506635105547715,6324,44100,8324,1091,13.106679481018741
70,1.3194302195901983,6603,44379,8430,1074,12.740213523131672
71,1.407441919783572,6889,44665,8536,1138,13.331771321462043
72,1.4219426426908846,7170,44946,8642,1208,13.97824577644064
73,1.455089389173375,7505,45281,8748,1246,14.243255601280293
74,1.467060944332771,7899,45675,8854,1280,14.456742715156992
75,1.4980484644939827,8329,46105,8960,1377,15.368303571428571
76,1.5297734544222834,8807,46583,9067,1441,15.892798058894893
77,1.49284417898036,9345,47121,9173,1495,16.29783058977434
78,1.5076767130363669,9922,47698,9279,1592,17.15702123073607
79,1.501987962151331,10562,48338,9385,1718,18.305807139051677
80,1.4870574352559345,11226,49002,9491,1818,19.154988936887577
81,1.5056219657899204,11920,49696,9597,1835,19.12055850786704
82,1.5077986468309366,12666,50442,9703,2008,20.694630526641244
83,1.4958373902885174,13463,51238,9810,2057,20.968399592252805
84,1.5244267709737096,14304,52080,9916,2116,21.33924969745865
85,1.5019464969527858,15197,52973,10022,2258,22.53043304729595
86,1.4615103155547817,16170,53945,10128,2323,22.93641390205371
87,1.520886488827651,17170,54946,10234,2425,23.695524721516513
88,1.5754685476300718,18246,56021,10340,2548,24.642166344294004
89,1.6220710589112166,19381,57156,10446,2609,24.976067394217882
90,1.5773257670972036,20735,58511,10553,2790,26.437979721406236
91,1.6365167869242356,22242,60018,10659,2952,27.694905713481564
92,1.5878141904351546,23873,61648,10765,2965,27.54296330701347
93,1.620638926446645,25617,63392,10871,3207,29.500505933216814
94,1.6376527872002045,27542,65318,10977,3288,29.953539218365673
95,1.6077943325166928,29656,67432,11083,3370,30.40692953171524
96,1.6432693256118744,31941,69717,11189,3456,30.887478773795692
97,1.631578606332866,34430,72206,11296,3556,31.480169971671387
98,1.6593782515561462,37201,74976,11402,3790,33.23978249429925
99,1.645373792274789,40124,77900,11508,3861,33.550573514077165
100,1.650318601310034,43325,81100,11614,4024,34.647838815223004
101,1.5912454198813817,46786,84561,11720,4114,35.10238907849829
102,1.5518620287822875,50385,88161,11826,4259,36.01386774902757
103,1.5514950220459336,54230,92006,11932,4384,36.74153536708012
104,1.549112454658883,58098,95874,12039,4530,37.627709942686266
105,1.5228152528746846,62099,99875,12145,4666,38.41910251132153
106,1.5569704776084536,66263,104038,12251,4675,38.160150191821074
107,1.525450965047953,70728,108504,12357,4871,39.41895282026382
108,1.5110368007691024,75407,113183,12463,4957,39.77373024151488
109,1.5496675944879172,80379,118154,12569,4947,39.358739756543876
110,1.5082138791767372,85702,123477,12675,5285,41.696252465483234
111,1.5733931791589095,91463,129239,12782,5293,41.40979502425286
112,1.5117877382424434,97561,135336,12888,5461,42.37274984481689
113,1.614114337316492,104335,142111,12994,5535,42.59658303832538
114,1.6472127090823772,111900,149676,13100,5556,42.412213740458014
115,1.6333043760771981,120390,158166,13206,5706,43.207632894139024
116,1.6349572816244171,129385,167160,13312,5762,43.28425480769231
117,1.6130124275403757,139217,176993,13418,5931,44.20181845282456
118,1.6636117889494864,149750,187526,13525,5990,44.288354898336415
119,1.7066796901304038,161445,199221,13631,6161,45.19844472159049
120,1.6839872538439968,174481,212257,13737,6200,45.13358084006697
121,1.7031806886610361,188560,226336,13843,6289,45.43090370584411
122,1.6875522742057432,204346,242122,13949,6423,46.04631156355294
123,1.7668429173018414,221355,259131,14055,6503,46.268231945926715
124,1.720021736860273,240131,277907,14162,6472,45.69975992091513
125,1.7143964951718926,260394,298170,14268,6556,45.94897673114662
126,1.6406441144991515,282913,320689,14374,6665,46.36844302212328
127,1.5577144399777538,306522,344298,14480,6851,47.31353591160221
128,1.5851562880225132,329819,367595,14586,7048,48.32030714383656
129,1.6072591610112121,353447,391222,14692,7017,47.760686087666755
130,1.6754789917732231,377690,415466,14798,7078,47.830787944316796
131,1.710146127309105,405444,443220,14905,7124,47.7960415967796
132,1.730487227811963,437636,475412,15011,7262,48.37785623875824
133,1.7343291784247623,473981,511757,15117,7155,47.330819607064896
134,1.6808167313383438,513408,551184,15223,7333,48.17053143270052
135,1.779441562676023,554756,592532,15329,7505,48.95948855111227
136,1.7187497055135332,598831,636607,15435,7518,48.70748299319728
137,1.714197748885877,646907,684683,15541,7486,48.16935847114085
138,1.6848813765362674,697029,734805,15648,7601,48.57489775051125
139,1.7680310256206482,751929,789705,15754,7795,49.479497270534466
140,1.7895247749288399,811194,848970,15860,7911,49.880201765447666
141,1.8026670282558728,878355,916131,15966,7769,48.65965175998998
142,1.7863398102205164,953273,991049,16072,7839,48.77426580388253
143,1.7930413144309978,1034412,1072188,16178,7969,49.25825194708864
144,1.7990910580881914,1121947,1159723,16284,8110,49.803488086465244
145,1.850228018554426,1216644,1254419,16391,7997,48.78896955646391
146,1.8469091903939103,1319038,1356814,16497,8184,49.60901982178578
147,1.8623383352096272,1431464,1469240,16603,8230,49.56935493585497
148,1.8676508161870486,1554655,1592431,16709,8294,49.63791968400263
149,1.8564680981062593,1687758,1725533,16815,8301,49.36663693131133
150,1.8598933718212325,1831273,1869049,16921,8368,49.45334200106377
151,1.8736042656951,1983917,2021692,17027,8518,50.02642861337875
152,1.93426008860398,2144835,2182611,17134,8515,49.69650986342944
153,1.8845318135402667,2313908,2351683,17240,8524,49.443155452436194
154,1.8612514070133357,2496373,2534148,17346,8629,49.74633921365156
155,1.785655122398407,2694215,2731991,17452,8714,49.93123997249599
156,1.8032544396480088,2884362,2922138,17558,8703,49.56714887800433
157,1.9037679552225493,3077679,3115454,17664,8754,49.55842391304348
158,1.8614295783902965,3285765,3323541,17770,8805,49.54980303882949
159,1.8882326921436852,3502718,3540494,17877,8962,50.13145382334844
160,1.8600789436750123,3735014,3772790,17983,8874,49.34660512706445
161,1.8172989778194815,3968177,4005953,18089,8901,49.2067002045442
162,1.8485340736660139,4189839,4227615,18195,9053,49.755427315196485
163,1.8314210783745923,4400769,4438545,18301,9134,49.9098409922955
164,1.7790781602782795,4616052,4653828,18407,9158,49.75281143043407
165,1.8777193916861143,4827773,4865549,18513,9144,49.39231891103549
166,1.8432481433117889,5034531,5072307,18620,9259,49.72610096670247
